host,app,status
S-DC-EXC0506,Anti-Malware,ok
S-DC-EXC0506,PendingReboot,ok
S-DC-EXC0507,OWA,ok
S-DC-EXC0507,MAPI,ok
S-DC-EXC0507,RPC,ok
S-DC-EXC0507,Autodiscover,ok
S-DC-EXC0507,Powershell,ok
S-DC-EXC0507,EWS,ok
S-DC-EXC0507,ECP,ok
S-DC-EXC0507,OAB,ok
S-DC-EXC0507,Services,ok
S-DC-EXC0507,Replication,ok
S-DC-EXC0507,MRS,ok
S-DC-EXC0507,MAPI-Connectivity,ok
S-DC-EXC0507,Maintenance,ok
S-DC-EXC0507,Active DBs,ok
S-DC-EXC0507,Passive DBs,ok
S-DC-EXC0507,Disks,ok
S-DC-EXC0507,BitLocker,ok
S-DC-EXC0507,Anti-Malware,ok
S-DC-EXC0507,PendingReboot,ok
S-DC-EXC0508,OWA,no
S-DC-EXC0508,MAPI,ok
S-DC-EXC0508,RPC,ok
S-DC-EXC0508,Autodiscover,ok
S-DC-EXC0508,Powershell,no
S-DC-EXC0508,EWS,ok
S-DC-EXC0508,ECP,ok
S-DC-EXC0508,OAB,ok
S-DC-EXC0508,Services,ok
S-DC-EXC0508,Replication,ok
S-DC-EXC0508,MRS,ok
S-DC-EXC0508,MAPI-Connectivity,ok
S-DC-EXC0508,Maintenance,ok
S-DC-EXC0508,Active DBs,ok
S-DC-EXC0508,Passive DBs,ok
S-DC-EXC0508,Disks,ok
S-DC-EXC0508,BitLocker,ok
S-DC-EXC0508,Anti-Malware,ok
S-DC-EXC0508,PendingReboot,ok
