host,app,status
S-DC-EXC0108,MAPI-Connectivity,ok
S-DC-EXC0108,Maintenance,ok
S-DC-EXC0108,Active DBs,ok
S-DC-EXC0108,Passive DBs,ok
S-DC-EXC0108,Disks,ok
S-DC-EXC0108,BitLocker,ok
S-DC-EXC0108,Anti-Malware,ok
S-DC-EXC0108,PendingReboot,ok
S-DC-EXC0201,OWA,ok
S-DC-EXC0201,MAPI,ok
S-DC-EXC0201,RPC,ok
S-DC-EXC0201,Autodiscover,ok
S-DC-EXC0201,Powershell,ok
S-DC-EXC0201,EWS,ok
S-DC-EXC0201,ECP,ok
S-DC-EXC0201,OAB,ok
S-DC-EXC0201,Services,ok
S-DC-EXC0201,Replication,ok
S-DC-EXC0201,MRS,ok
S-DC-EXC0201,MAPI-Connectivity,ok
S-DC-EXC0201,Maintenance,ok
S-DC-EXC0201,Active DBs,ok
S-DC-EXC0201,Passive DBs,ok
S-DC-EXC0201,Disks,ok
S-DC-EXC0201,BitLocker,ok
S-DC-EXC0201,Anti-Malware,ok
S-DC-EXC0201,PendingReboot,ok
S-DC-EXC0202,OWA,no
S-DC-EXC0202,MAPI,ok
S-DC-EXC0202,RPC,ok
S-DC-EXC0202,Autodiscover,ok
S-DC-EXC0202,Powershell,ok
S-DC-EXC0202,EWS,ok
S-DC-EXC0202,ECP,ok
S-DC-EXC0202,OAB,ok
S-DC-EXC0202,Services,ok
S-DC-EXC0202,Replication,ok
S-DC-EXC0202,MRS,ok
S-DC-EXC0202,MAPI-Connectivity,ok
S-DC-EXC0202,Maintenance,no
S-DC-EXC0202,Active DBs,ok
S-DC-EXC0202,Passive DBs,ok
S-DC-EXC0202,Disks,ok
S-DC-EXC0202,BitLocker,ok
S-DC-EXC0202,Anti-Malware,ok
S-DC-EXC0202,PendingReboot,ok
S-DC-EXC0203,OWA,ok
S-DC-EXC0203,MAPI,ok
S-DC-EXC0203,RPC,ok
S-DC-EXC0203,Autodiscover,ok
S-DC-EXC0203,Powershell,ok
S-DC-EXC0203,EWS,ok
S-DC-EXC0203,ECP,ok
S-DC-EXC0203,OAB,ok
S-DC-EXC0203,Services,ok
S-DC-EXC0203,Replication,no
S-DC-EXC0203,MRS,no
S-DC-EXC0203,MAPI-Connectivity,ok
S-DC-EXC0203,Maintenance,ok
S-DC-EXC0203,Active DBs,ok
S-DC-EXC0203,Passive DBs,ok
S-DC-EXC0203,Disks,ok
